OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
00-0000,All Occupations,total,"140,400,040",0.1,23.86,"49,630",0.1,9.27,11.60,17.81,28.92,45.45,"19,290","24,140","37,040","60,150","94,540",,
11-0000,Management Occupations,major,"7,090,790",0.2,56.74,"118,020",0.1,22.76,32.99,48.46,70.72,#,"47,330","68,630","100,790","147,090",#,,
11-1000,Top Executives,minor,"2,465,800",0.2,61.03,"126,950",0.2,20.58,31.45,49.19,78.35,#,"42,810","65,420","102,320","162,970",#,,
11-1010,Chief Executives,broad,"223,260",0.7,93.44,"194,350",0.4,33.55,54.86,87.12,#,#,"69,780","114,100","181,210",#,#,,
11-1011,Chief Executives,detailed,"223,260",0.7,93.44,"194,350",0.4,33.55,54.86,87.12,#,#,"69,780","114,100","181,210",#,#,,
11-1020,General and Operations Managers,broad,"2,188,870",0.3,58.70,"122,090",0.2,21.29,31.20,47.74,74.53,#,"44,290","64,890","99,310","155,020",#,,
11-1021,General and Operations Managers,detailed,"2,188,870",0.3,58.70,"122,090",0.2,21.29,31.20,47.74,74.53,#,"44,290","64,890","99,310","155,020",#,,
11-1030,Legislators,broad,"53,670",1.3,*,"44,820",1.1,*,*,*,*,*,"17,230","18,560","23,470","67,670","96,500",TRUE,
11-1031,Legislators,detailed,"53,670",1.3,*,"44,820",1.1,*,*,*,*,*,"17,230","18,560","23,470","67,670","96,500",TRUE,
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"663,960",0.5,65.39,"136,020",0.3,28.10,39.82,57.89,81.30,#,"58,450","82,820","120,420","169,110",#,,
11-2010,Advertising and Promotions Managers,broad,"28,860",2.3,56.64,"117,810",1.5,21.61,32.21,48.47,70.98,#,"44,950","67,000","100,810","147,640",#,,
11-2011,Advertising and Promotions Managers,detailed,"28,860",2.3,56.64,"117,810",1.5,21.61,32.21,48.47,70.98,#,"44,950","67,000","100,810","147,640",#,,
11-2020,Marketing and Sales Managers,broad,"571,120",0.6,66.52,"138,350",0.3,28.50,40.52,59.10,82.88,#,"59,280","84,270","122,930","172,390",#,,
11-2021,Marketing Managers,detailed,"205,900",1.0,69.30,"144,140",0.5,32.45,44.81,63.07,85.91,#,"67,490","93,200","131,180","178,690",#,,
11-2022,Sales Managers,detailed,"365,230",0.6,64.95,"135,090",0.3,26.82,38.18,56.71,80.91,#,"55,790","79,420","117,960","168,300",#,,
11-2030,Public Relations and Fundraising Managers,broad,"63,970",1.1,59.31,"123,360",0.6,28.40,37.84,51.59,73.06,98.61,"59,070","78,710","107,320","151,970","205,110",,
11-2031,Public Relations and Fundraising Managers,detailed,"63,970",1.1,59.31,"123,360",0.6,28.40,37.84,51.59,73.06,98.61,"59,070","78,710","107,320","151,970","205,110",,
11-3000,Operations Specialties Managers,minor,"1,693,430",0.4,60.32,"125,470",0.2,29.34,39.27,53.88,73.68,98.49,"61,040","81,680","112,080","153,250","204,860",,
11-3010,Administrative Services Managers,broad,"266,280",0.7,47.56,"98,930",0.3,23.69,31.82,43.29,58.17,76.60,"49,270","66,180","90,050","120,990","159,330",,
11-3011,Administrative Services Managers,detailed,"266,280",0.7,47.56,"98,930",0.3,23.69,31.82,43.29,58.17,76.60,"49,270","66,180","90,050","120,990","159,330",,
11-3020,Computer and Information Systems Managers,broad,"352,510",0.9,70.07,"145,740",0.4,39.60,50.62,65.29,82.05,#,"82,360","105,290","135,800","170,670",#,,
11-3021,Computer and Information Systems Managers,detailed,"352,510",0.9,70.07,"145,740",0.4,39.60,50.62,65.29,82.05,#,"82,360","105,290","135,800","170,670",#,,
11-3030,Financial Managers,broad,"543,300",0.6,67.17,"139,720",0.3,31.25,42.08,58.54,81.15,#,"65,000","87,530","121,750","168,790",#,,
11-3031,Financial Managers,detailed,"543,300",0.6,67.17,"139,720",0.3,31.25,42.08,58.54,81.15,#,"65,000","87,530","121,750","168,790",#,,
11-3050,Industrial Production Managers,broad,"168,400",0.6,51.47,"107,060",0.4,28.18,35.90,46.70,61.34,79.54,"58,610","74,670","97,140","127,590","165,450",,
